"DATASET","NLME_RESULT_ID","NLME_CURVE_ID","CELL_LINE_NAME","SANGER_MODEL_ID","CANCER_TYPE","DRUG_ID","DRUG_NAME","PUTATIVE_TARGET","PATHWAY_NAME","MIN_CONC","MAX_CONC","LN_IC50","AUC","RMSE","Z_SCORE","MAPK_flag","MAPK_status"
"GDSC2",343,15966112,"NCI-H2087","SIDM00708","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.401367,0.880669,0.075823,-0.530481,"MAPK","MAPK"
"GDSC2",343,15966282,"UM-UC-3","SIDM01182","Bladder Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.159306,0.986577,0.040753,1.263452,"MAPK","MAPK"
"GDSC2",343,15966562,"SW756","SIDM01174","Cervical Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.484837,0.954099,0.057922,0.824737,"MAPK","MAPK"
"GDSC2",343,15966845,"NCI-H727","SIDM01119","Other Solid Cancers",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.427842,0.807648,0.044306,-1.163721,"MAPK","MAPK"
"GDSC2",343,15967125,"Calu-6","SIDM00921","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.43234,0.810698,0.056184,-1.160795,"MAPK","MAPK"
"GDSC2",343,15967407,"LU-65","SIDM00547","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.712752,0.833276,0.0947,-0.978398,"MAPK","MAPK"
"GDSC2",343,15967689,"NCI-H1355","SIDM00645","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.606434,0.949616,0.020071,0.903831,"MAPK","MAPK"
"GDSC2",343,15967971,"NCI-H1792","SIDM00771","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.448699,0.932533,0.030984,-0.499693,"MAPK","MAPK"
"GDSC2",343,15968230,"HPAF-II","SIDM00669","Pancreatic Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.645952,0.892475,0.055202,-0.371387,"MAPK","MAPK"
"GDSC2",343,15968500,"MIA-PaCa-2","SIDM00505","Pancreatic Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.532237,0.920681,0.059554,-0.445355,"MAPK","MAPK"
"GDSC2",343,15968781,"SHP-77","SIDM01078","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.431428,0.972489,0.088795,0.139534,"MAPK","MAPK"
"GDSC2",343,15968951,"NCI-H2009","SIDM00756","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.325641,0.967348,0.034499,0.721186,"MAPK","MAPK"
"GDSC2",343,15969409,"SW1573","SIDM01163","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.050773,0.958666,0.043671,1.192856,"MAPK","MAPK"
"GDSC2",343,15969692,"TE-5","SIDM00347","Esophageal Squamous Cell Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.144435,0.882625,0.030155,-0.697605,"MAPK","MAPK"
"GDSC2",343,15969975,"HCC1954","SIDM00872","Breast Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.297758,0.982987,0.04425,0.703049,NA,"Non-MAPK"
"GDSC2",343,15970259,"HCC1143","SIDM00866","Breast Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.159908,0.958884,0.065996,0.613383,NA,"Non-MAPK"
"GDSC2",343,15970543,"HCC1187","SIDM00885","Breast Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.757868,0.988542,0.027117,1.002333,"MAPK","MAPK"
